porno
puțoi
clistir
a ajunge lăstărel
papacioacă
babardi
a se învârti ca un coi în căldare
a avea ornic
a.z.p.
a o bate în cap
băga-mi-aș
băga-te-aș
a se băga ca rața-n muci
a-și băga picioarele în ceva
așibăgapicioareleînceva
bălosu'
bătrânețe
a o beli
a beli belengherul
beli-mi-ai venit
a beli ochii cât cepele
a beli prazul
a beli pula
bere la gard
bese
beși de-aici
bibiluri
biboanță
boaște
bordel la varice
borî
brânză
bubă
buleală
buli
cariceală
cavaler de kurlandia
căca
a se căca împrăștiat
a se căca pe el
a căca steagul
căcarea lumii
căcat
căcălău
căcănar
căcănăreală
căcărează
a cădea cu curu-n pulă
a-i cădea
a cădea în cur după cineva
căzut în cur
cârnat
a cere obezi
ciocălău
a o ciocăni la vârf
ciocu' mic
ciucălău
a ciufuli veverița
clocitoare
coi
cordan
corditor
crețar
crețoman
cu palma-n cur
curist
curpapir
cur să nu
a i-o da
să-nnebunesc
a da cosor
a se da cu curul de pământ
a da cu mucii-n fasole
a da cu ornicul de pereți
a da cu osul
a da curului sare
a-și da cu tesla în coaie
a o da în bijboc
a o da în vată
a da la buci
a da la pipi
a da limbi
a-i da cuiva muie
a o da pe bibiluri
a da pielea peste cap
a-i da
delicatesă
deliu
drum bătut și cur frecat
a se duce pe cur
a-l durea în bigă
du-te și te pișă
edec
ete fleoșc
a face pizda mare
a face rahatul bici
a face rahatul praf
a face tot tacâmul
femeie șnur
a fi bolnav de nasulie
a fi făcut din labă
a fi în rahat până în
flaut cu gușă
a-i intra bețele în cur
a o freca
a freca gherțoiul
fuck
futai
futangiu
futatore
futăcios
fute
a fute buha
a fute calul în pizdă
a fute
futencurist
futere
futing
futu-i
futut
futu-te-n aripă
fuți
ilău
gura bate curul
a ieși din calendar
hai sictir
iepșună
a i-o înfige
încăleca
îmborțoșată
îmborțoșa
jos biștarii
juma' de metru și o flegmă
labagioaică
labagiu
labă
labă-ncrucișată
labă tristă
lăbar
lăbăreală
a o lăbări
lăstărel
a linge cireașa
a linge în cur
a se lipi ca asfaltul de flegmă
a lovi în creastă
a lua la bulane
a o lua la clarinet
a o lua la labă
a lua la perpulis
a o lua sub coadă
a o lua sus
mameli
manco
măciuci în buci
mătreață în fund
a mânca căcat
a-l mânca în cur
mingeacă
dezgovesc
metar
să moară bibi
să mor eu
să mori tu?
muian
muie
a mușca de cur
mută-ți curul
nas în cur
nefutut
nehalit
noapte de zarzavat
nodurosu'
a omorî arici cu curul
papacioacă
asetragepecur
a-i pica mucii după cineva
a-i pica mucii
picat în cur
pielea sulii
a se pișa
a pișa ochii
pizdă
